longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
0,0,0,101,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,101.1,102.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,101.2,102.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,101.3,102.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,101.4,102.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,101.5,102.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,101.6,102.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,101.7,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,101.8,102.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,101.9,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,102,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,102.1,103.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,102.2,103.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,102.3,103.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,102.4,103.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,102.5,103.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,102.6,103.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,102.7,103.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
